python,sql,math,study_hours,quiz_score,projects_completed,learning_level
1,1,1,1,35,0,Beginner
2,1,2,1,40,0,Beginner
2,2,2,1,45,0,Beginner
3,2,2,2,50,1,Beginner
3,3,3,2,55,1,Intermediate
4,3,4,2,60,1,Intermediate
5,4,4,2,65,2,Intermediate
5,5,5,3,70,2,Intermediate
6,5,6,3,75,2,Advanced
7,6,6,3,80,3,Advanced
8,7,7,4,85,3,Advanced
9,8,8,4,90,4,Advanced
10,9,9,5,95,5,Advanced
4,2,3,2,58,1,Intermediate
6,4,5,3,72,2,Advanced
2,2,1,1,42,0,Beginner
7,5,6,3,78,3,Advanced
3,3,2,2,52,1,Intermediate
5,4,5,2,68,2,Intermediate
8,7,8,4,88,4,Advanced
